dataset,project,pPath,pId,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/data/time/Week,8,221,        peg(calendar);,0,0,0,1,2,0,2,0,0,2,14,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,219,            this.year = (short) yyyy;,2,0,0,1,2,0,0,0,0,3,25,6,1,0
defect4j,chart,org/jfree/data/time/Week,8,199,        calendar.setTime(time);,0,0,0,1,2,0,3,0,0,3,23,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,198,"        Calendar calendar = Calendar.getInstance(zone, locale);",1,0,0,1,2,0,4,1,0,6,55,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,211,"            this.week = (byte) Math.min(tempWeek, LAST_WEEK_IN_YEAR);",1,0,0,2,4,0,4,0,0,6,57,6,1,0
defect4j,chart,org/jfree/data/time/Week,8,212,            int yyyy = calendar.get(Calendar.YEAR);,3,0,0,1,2,0,2,0,0,5,39,7,1,0
defect4j,chart,org/jfree/data/time/Week,8,215,            if (calendar.get(Calendar.MONTH) == Calendar.JANUARY,4,1,0,1,3,0,2,0,0,7,52,7,1,0
defect4j,chart,org/jfree/data/time/Week,8,195,        if (locale == null) {,1,1,0,1,3,0,0,0,0,2,21,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,175,"        this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());",3,0,0,2,4,0,2,0,0,5,69,4,1,1
defect4j,chart,org/jfree/data/time/Week,8,192,        if (zone == null) {,1,1,0,1,3,0,0,0,0,2,19,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,188,"    public Week(Date time, TimeZone zone, Locale locale) {",4,0,0,1,3,1,0,3,0,8,54,2,1,0
defect4j,chart,org/jfree/data/time/Week,8,189,        if (time == null) {,1,1,0,1,3,0,0,0,0,2,19,4,1,0
defect4j,chart,org/jfree/data/time/Week,8,205,        if (tempWeek == 1,1,1,0,0,1,0,0,0,0,2,17,5,1,0
defect4j,chart,org/jfree/data/time/Week,8,204,        int tempWeek = calendar.get(Calendar.WEEK_OF_YEAR);,3,0,0,1,2,0,2,0,0,5,51,5,1,0
