dataset,project,pPath,pId,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/data/time/TimeSeries,3,1050,        if (start < 0) {,1,1,0,1,3,0,0,0,0,2,16,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1071,        return copy;,1,0,0,0,0,0,0,0,0,1,12,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1056,        TimeSeries copy = (TimeSeries) super.clone();,2,0,0,2,4,0,0,2,0,4,45,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1057,        copy.data = new java.util.ArrayList();,5,0,0,1,2,0,0,0,0,6,38,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1053,        if (end < start) {,2,1,0,1,3,0,0,0,0,3,18,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1058,        if (this.data.size() > 0) {,1,1,0,2,5,0,1,0,0,3,27,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1060,                TimeSeriesDataItem item,1,0,0,0,0,0,0,1,0,2,23,8,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1062,                TimeSeriesDataItem clone = (TimeSeriesDataItem) item.clone();,1,0,0,2,4,0,2,2,0,5,61,8,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1064,                    copy.add(clone);,0,0,0,1,2,0,3,0,0,3,16,11,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1059,            for (int index = start; index <= end; index++) {,5,1,0,1,3,0,0,0,0,7,48,6,1,0
